PAÍS;UF;ANO;MÊS;ÁREA DE ATRIBUIÇÃO;QTD DE OPERAÇÕES;PRISÕES EM FLAGRANTE;QTD DE VÍTIMAS DE ABUSO SEXUAL INFANTOJUVENIL RESGATADAS;MBAS EXPEDIDOS;PRISÕES PREVENTIVAS EXPEDIDAS;PRISÕES TEMPORÁRIAS EXPEDIDAS
BRASIL;PF;2024;Jan;Crimes de alta tecnologia;3;0;0;44;6;5
BRASIL;PF;2024;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PF;2024;Mar;Crimes de alta tecnologia;1;0;0;1;0;0
BRASIL;PF;2024;Abr;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PF;2024;Mai;Crimes de alta tecnologia;1;0;0;1;0;0
BRASIL;PF;2024;Jun;Crimes de alta tecnologia;1;0;0;5;0;0
BRASIL;PF;2024;Jul;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PF;2024;Ago;Crimes de alta tecnologia;1;0;0;19;0;3
BRASIL;PF;2024;Set;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PF;2024;Out;Crimes de alta tecnologia;4;0;0;4;1;0
BRASIL;PF;2024;Nov;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PF;2024;Dez;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PF;2024;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2024;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2024;Mar;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2024;Abr;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2024;Mai;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2024;Jun;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2024;Jul;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2024;Ago;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2024;Set;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2024;Out;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2024;Nov;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2024;Dez;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2024;Jan;Crimes Cibernéticos (legado);1;0;0;7;0;0
BRASIL;PF;2024;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PF;2024;Mar;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PF;2024;Abr;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PF;2024;Mai;Crimes Cibernéticos (legado);1;0;0;1;0;0
BRASIL;PF;2024;Jun;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PF;2024;Jul;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PF;2024;Ago;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PF;2024;Set;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PF;2024;Out;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PF;2024;Nov;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PF;2024;Dez;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PF;2024;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PF;2024;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PF;2024;Mar;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;4;1;0
BRASIL;PF;2024;Abr;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PF;2024;Mai;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PF;2024;Jun;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PF;2024;Jul;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PF;2024;Ago;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PF;2024;Set;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PF;2024;Out;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PF;2024;Nov;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PF;2024;Dez;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PF;2024;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PF;2024;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PF;2024;Mar;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PF;2024;Abr;Fraudes bancárias eletrônicas;2;0;0;52;6;2
BRASIL;PF;2024;Mai;Fraudes bancárias eletrônicas;1;0;0;21;6;0
BRASIL;PF;2024;Jun;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PF;2024;Jul;Fraudes bancárias eletrônicas;1;0;0;7;3;0
